page_id,cluster_id,week_index,archetype_id,content_age_days,word_count,internal_inlinks,serp_feature_count,avg_position,impressions,clicks,observed_ctr,estimated_bounce_rate,avg_dwell_sec
anon_page_0000,cluster_00,0,1,627,795,1,0,4.71,30854,3293,0.1067,0.678,122
anon_page_0000,cluster_00,1,1,634,795,1,1,5.05,28924,2902,0.1003,0.458,120
anon_page_0000,cluster_00,2,1,641,795,1,0,5.48,28428,2689,0.0946,0.671,112
anon_page_0000,cluster_00,3,1,648,795,1,2,5.66,23860,2098,0.0879,0.65,88
anon_page_0000,cluster_00,4,1,655,795,1,1,6.49,29972,2546,0.0849,0.671,109
anon_page_0000,cluster_00,5,1,662,795,1,0,7.3,35678,2948,0.0826,0.616,180
anon_page_0000,cluster_00,6,1,669,795,1,0,7.52,31761,2434,0.0766,0.575,115
anon_page_0000,cluster_00,7,1,676,795,1,1,8.06,33194,2424,0.073,0.712,60
anon_page_0000,cluster_00,8,1,683,795,1,3,8.1,26308,1731,0.0658,0.712,122
anon_page_0000,cluster_00,9,1,690,795,1,3,9.08,34832,2291,0.0658,0.7,103
anon_page_0000,cluster_00,10,1,697,795,1,2,8.96,25424,1458,0.0573,0.637,69
anon_page_0000,cluster_00,11,1,704,795,1,1,9.56,27623,1507,0.0546,0.754,95
anon_page_0000,cluster_00,12,1,711,795,1,0,10.06,28275,1445,0.0511,0.792,121
anon_page_0000,cluster_00,13,1,718,795,1,2,10.88,34267,1731,0.0505,0.664,91
anon_page_0000,cluster_00,14,1,725,795,1,1,11.2,31936,1459,0.0457,0.852,92
anon_page_0000,cluster_00,15,1,732,795,1,1,11.47,28879,1170,0.0405,0.841,135
anon_page_0001,cluster_01,0,4,417,829,22,0,6.11,1624,113,0.0696,0.734,97
anon_page_0001,cluster_01,1,4,424,829,22,1,8.04,5929,478,0.0806,0.669,150
anon_page_0001,cluster_01,2,4,431,829,22,0,8.34,6437,524,0.0814,0.645,132
anon_page_0001,cluster_01,3,4,438,829,22,0,7.48,4191,309,0.0737,0.771,148
anon_page_0001,cluster_01,4,4,445,829,22,2,7.52,4066,295,0.0726,0.732,178
anon_page_0001,cluster_01,5,4,452,829,22,2,7.96,4892,363,0.0742,0.619,127
anon_page_0001,cluster_01,6,4,459,829,22,2,7.77,4220,301,0.0713,0.539,56
anon_page_0001,cluster_01,7,4,466,829,22,0,8.23,5083,372,0.0732,0.66,111
anon_page_0001,cluster_01,8,4,473,829,22,1,8.06,4483,315,0.0703,0.732,106
anon_page_0001,cluster_01,9,4,480,829,22,3,8.94,6320,477,0.0755,0.517,133
anon_page_0001,cluster_01,10,4,487,829,22,0,8.35,4735,329,0.0695,0.943,148
anon_page_0001,cluster_01,11,4,494,829,22,0,8.28,4355,294,0.0675,0.692,98
anon_page_0001,cluster_01,12,4,501,829,22,0,9.08,6000,433,0.0722,0.787,108
anon_page_0001,cluster_01,13,4,508,829,22,1,9.29,6280,454,0.0723,0.774,197
anon_page_0001,cluster_01,14,4,515,829,22,0,8.19,3482,217,0.0623,0.637,182
anon_page_0001,cluster_01,15,4,522,829,22,0,9.21,5671,389,0.0686,0.559,133
anon_page_0002,cluster_02,0,2,124,1777,42,2,8.22,2044,98,0.0479,0.571,180
anon_page_0002,cluster_02,1,2,131,1777,42,0,8.25,2314,121,0.0523,0.721,165
anon_page_0002,cluster_02,2,2,138,1777,42,2,7.41,1739,87,0.05,0.546,161
anon_page_0002,cluster_02,3,2,145,1777,42,0,7.56,2120,117,0.0552,0.711,123
anon_page_0002,cluster_02,4,2,152,1777,42,1,7.42,2225,130,0.0584,0.726,168
anon_page_0002,cluster_02,5,2,159,1777,42,0,6.73,1796,104,0.0579,0.781,123
anon_page_0002,cluster_02,6,2,166,1777,42,1,6.8,2095,130,0.0621,0.707,123
anon_page_0002,cluster_02,7,2,173,1777,42,1,6.43,1974,126,0.0638,0.57,126
anon_page_0002,cluster_02,8,2,180,1777,42,2,6.15,1945,129,0.0663,0.687,189
anon_page_0002,cluster_02,9,2,187,1777,42,1,6.01,2044,142,0.0695,0.624,236
anon_page_0002,cluster_02,10,2,194,1777,42,0,5.79,2062,149,0.0723,0.56,157
anon_page_0002,cluster_02,11,2,201,1777,42,0,5.42,1949,145,0.0744,0.616,179
anon_page_0002,cluster_02,12,2,208,1777,42,3,5.28,2047,160,0.0782,0.628,145
anon_page_0002,cluster_02,13,2,215,1777,42,1,5.09,2099,170,0.081,0.587,186
anon_page_0002,cluster_02,14,2,222,1777,42,3,4.76,2017,170,0.0843,0.501,181
anon_page_0002,cluster_02,15,2,229,1777,42,0,4.77,2259,199,0.0881,0.631,129
anon_page_0003,cluster_03,0,4,232,2044,7,2,8.82,10292,682,0.0663,0.95,179
